,distance
0,1.5328113558000036
1,6.005353658649737
2,6.3784987182279815
3,1.1697930025557357
4,1.4958088424927865
5,1.118401963908083
6,9.416973779574214
7,2.1472104814019666
8,0.6831160782407205
9,1.9361758046740825
10,1.9271003053404803
11,1.2557539270472924
12,10.89022284524489
13,0.9078448015583613
14,0.7115996674071379
15,1.9864945586959575
16,1.6723162321151346
17,1.6746389005001963
18,1.1073424439189536
19,0.5165447593764362
20,0.21824937322062782
21,3.0704492696975376
22,4.800216030925594
23,1.7002679139669485
24,1.3715701497391821
25,1.5667384160717193
26,2.2839161935313994
27,2.3032683153118856
28,3.2644695146469793
29,1.630231078968097
30,8.193797644633328
31,1.1941413504260778
32,1.6963215615702554
33,1.2524816787117066
34,2.0774062193401575
35,0.8070295219659249
36,2.3753176270333807
37,1.3872947816904693
38,1.3277262215951584
39,0.9726096639556413
40,3.068591914407323
41,1.7097925423820184
42,1.77373245249719
43,0.6791366455668892
44,10.131108481027907
45,3.928560512590642
46,1.7255124598420217
47,0.49357432851055455
48,4.685423135055924
49,1.893381646779158
50,1.5868000832178892
51,3.5378242117845375
52,1.0215040709703382
53,1.479773642793531
54,4.551500468815307
55,1.4191669266056743
56,1.6191835012676563
57,1.7051958906515654
58,1.673065018941278
59,0.7115996496912954
60,1.4034312915465732
61,6.249469454593128
62,3.2984179647550502
63,4.6018483734938815
64,0.9622935969650909
65,0.2219156459790155
66,2.625270789826794
67,0.5063719199992931
68,0.5597564667646665
69,1.4783636831773261
70,4.035403690483718
71,6.179866991074802
72,0.8949872744412162
73,0.8485523149340538
74,2.673012599152954
75,4.147298678497233
76,1.8825307253030947
77,2.8411312049552278
78,3.9460112461429526
79,1.0220304083151326
80,5.733569727822341
81,2.275252149828142
82,6.258454261997579
83,0.9507394605716275
84,6.686206583630627
85,2.5250123676805813
86,0.8657639221584382
87,0.7749570906499287
88,1.3603954166931018
89,4.6920712050851865
90,1.8432405319987684
91,3.0270187805547706
92,1.0647515131619345
93,3.709845776983578
94,2.8326857857848005
95,4.97970262118684
96,4.129334343091585
97,2.942166698025461
98,4.9986490215397605
99,8.468406472947532
100,2.0208580573522434
101,3.3361629032315725
102,6.336381118484488
103,2.6554286237700393
104,4.138994778142192
105,2.0956049677565534
106,0.835687884206882
107,2.540926415759359
108,13.626852091132971
109,2.677633784292464
110,0.6834565272397134
111,3.081226271195427
112,0.7170086522621224
113,3.3286842740521423
114,9.2034664619964
115,4.367951358482323
116,0.773884124754501
117,2.106453739202852
118,2.4610998845545873
119,3.244589207255267
120,2.939356562675744
121,0.9989864016501329
122,1.5152566014868964
123,2.634109712937892
124,1.276217221161601
125,1.3765210791659253
126,2.850159306603428
127,1.3592803916048728
128,1.3229071354927031
129,0.8221066254159789
130,3.4840604843690026
131,7.166457378634377
132,2.0515489983756563
133,2.5701248308729805
134,2.84531818082928
135,1.9932301690583445
136,0.6081012615767337
137,15.296448381276662
138,1.048293596876196
139,1.732892520664403
140,2.2199898446779502
141,2.0072137113711124
142,1.756945379815348
143,1.0417995480929114
144,4.1252857565624215
145,7.509233282280292
146,0.3789303125561838
147,1.6912231512339997
148,2.009426517941453
149,3.0057693807993213
150,2.0888064876756713
151,1.6191970328394736
152,2.6649037416489887
153,0.7115996616347008
154,1.1803123945071465
155,0.6238226772725792
156,2.386645232552872
157,2.152195812250271
158,5.655013852316143
159,1.5517458958649377
160,0.7115996887429803
161,1.1325172312852916
162,3.5572152050534904
163,1.3277165770449053
164,2.2417477282023226
165,1.7768080705018834
166,6.415008924401885
167,2.592556100177583
168,1.0420932079669618
169,1.9769310422341673
170,5.51312480942443
171,0.7229940676531672
172,1.474949076477634
173,0.8770848952075045
174,0.9526759706877448
175,1.162702940559651
176,4.978241211132091
177,4.644017091470614
178,1.5967663188350643
179,11.023102758679727
180,0.7252712684915881
181,2.794474682796753
182,2.047831040250129
183,3.252430788888998
184,8.926889054687242
185,1.6228676622387928
186,0.16347834292197927
187,2.2136778262831514
188,1.3772642418607206
189,2.951504171471702
190,4.628137722332713
191,1.1606637873350807
192,6.237862646708291
193,7.524366876534111
194,1.166134554689349
195,1.0951187288480784
196,0.7243281970289297
197,1.2657239094441108
198,2.000307834370534
199,4.24912141787787
200,2.526447115026122
201,2.3474190066704748
202,0.823552584307289
203,1.4807474772749678
204,2.1870745079921217
205,4.328958731669185
206,2.1763110492816216
207,0.5074723379108356
208,1.3905298578931578
209,0.9863576381514684
210,2.294507565390214
211,1.9431442767494558
212,2.0033686899218885
213,2.9706942811829866
214,6.882389821427178
215,3.791771102499211
216,3.1024858913546787
217,3.9417844448115207
218,4.22442993913572
219,1.346569992286337
220,0.7180571394922345
221,1.0084707410267613
222,2.5084245493307713
223,7.641632811806396
224,1.142441362675574
225,0.5058244717439127
226,0.9130477573451751
227,0.6856170465512047
228,2.428071361279029
229,6.142976613252875
230,0.7184640086994559
231,0.9118573277336431
232,2.3993182973954146
233,1.5021372031649831
234,1.6400305911970336
235,9.921304922877205
236,1.522237914680252
237,3.9121521845325633
238,12.473834834292429
239,3.1432698613130703
240,3.473276817703034
241,0.6539991885970085
242,1.9568005714295003
243,0.580255445490805
244,3.8278787879770655
245,9.060302560963388
246,6.508479158179881
247,6.052449476914061
248,8.441240432047687
249,1.962165134488477
250,0.8513843004753875
251,1.1767156581231901
252,10.094182248059427
253,1.0369149393417874
254,5.107537247971117
255,1.5634703813142075
256,2.278973665969016
257,2.1856695089885343
258,2.5129652344613644
259,4.384983230076165
260,1.4665726315055403
261,4.295137856460915
262,0.9926617324669098
263,3.819047324691698
264,1.7366217240379016
265,1.5171060225032929
266,2.3525072331479984
267,6.639068802417618
268,3.0038394973751243
269,2.9714172935063923
270,2.140023231209317
271,0.8303982574272862
272,0.7109113995284
273,1.209002754608478
274,5.0172727323085615
275,1.8539942207384643
276,0.7253786984593071
277,2.160313845065707
278,1.7109656589703293
279,1.2719383782950267
280,2.638484430039411
281,1.8377640371392674
282,2.521637679775254
283,3.8935365618660835
284,4.806228112394511
285,7.942545816477421
286,3.2941225792298643
287,1.1267763251585696
288,2.248751196564231
289,2.238856571434509
290,3.292218205575142
291,0.9927210678553388
292,0.30959983427144366
293,1.1777477549634716
294,1.7621129913102918
295,2.7222241752146674
296,1.6259708687068293
297,5.494712916028819
298,2.3178120059757874
299,2.1024809146155197
300,1.782627415971728
301,1.351055445733786
302,0.6415242086274008
303,2.5449048728837345
304,3.121027851081741
305,7.827067364911546
306,2.267367355282212
307,1.615046852391349
308,2.2233705717916696
309,2.26192539618806
310,1.5055353849108473
311,1.027511336598332
312,1.5030870323778684
313,4.463334257969642
314,4.838981884441177
315,3.6054298581147424
316,1.191949315686287
317,0.047585458845275784
318,0.8653837140215159
319,1.3233591615185178
320,1.1496787828296504
321,3.1556821633776595
322,3.7077775537833193
323,2.260648542374923
324,3.977393707419517
325,1.0679038519648199
326,6.230998741790674
327,8.629978718042647
328,0.9631591789350616
329,2.722971232508648
330,0.34852899350479727
331,2.371182576791554
332,2.1719816124838016
333,1.9355405853284526
334,2.1945888409494207
335,2.0542233410811854
336,1.3404520040458179
337,5.457379692442026
338,2.8721269775825107
339,8.001496715657648
340,2.5675751091213197
341,8.725330052456364
342,1.3974542146293312
343,2.421125558900945
344,2.5140597069859014
345,1.6073472749795963
346,2.1748763463092895
347,3.808597605324472
348,0.9068204325738185
349,1.6300766729104001
350,0.41078105117574326
351,2.2353382394856465
352,1.911206025643839
